age,priors_count,c_charge_degree,race,sex,query_id
35.815998,3.6908612,M,Caucasian,Male,cae5686e-ff94-4ee3-b97a-0e20aaad906e
39.164665,5.254184,M,Caucasian,Male,cae5686e-ff94-4ee3-b97a-0e20aaad906e
38.925217,4.544733,M,Caucasian,Male,cae5686e-ff94-4ee3-b97a-0e20aaad906e
45.608253,1.2972798,M,African-American,Male,4c76844f-aa8c-4be6-9072-1f719f655ef0
45.37835,3.681238,M,African-American,Male,4c76844f-aa8c-4be6-9072-1f719f655ef0
44.31766,4.644843,M,Caucasian,Male,4c76844f-aa8c-4be6-9072-1f719f655ef0
26.475756,0.0,F,African-American,Male,e9217b8d-29da-450f-a3d1-ceea2f36afb3
24.136013,0.0,F,African-American,Male,e9217b8d-29da-450f-a3d1-ceea2f36afb3
24.071245,0.1100802,F,African-American,Male,e9217b8d-29da-450f-a3d1-ceea2f36afb3
39.710552,3.710156,F,Caucasian,Male,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
44.35921,0.63411427,F,Caucasian,Male,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
37.591606,0.0,F,Caucasian,Male,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
26.704247,0.7139797,F,Caucasian,Male,08db791a-1bf7-40f3-855f-d9997356aaf6
25.655424,1.8010098,F,Caucasian,Male,08db791a-1bf7-40f3-855f-d9997356aaf6
29.258572,0.0,F,Caucasian,Male,08db791a-1bf7-40f3-855f-d9997356aaf6
42.244278,0.27539694,M,Caucasian,Female,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
38.133873,0.9061613,M,Caucasian,Female,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
38.15727,0.0,M,Caucasian,Female,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
53.846634,5.4501266,F,Caucasian,Female,cab24951-a5d3-45a1-af9d-87ac48b25277
64.52515,4.9909816,F,Caucasian,Female,cab24951-a5d3-45a1-af9d-87ac48b25277
61.012947,4.458208,F,Caucasian,Female,cab24951-a5d3-45a1-af9d-87ac48b25277
28.456053,3.6112435,M,Caucasian,Male,58b88d99-e306-4789-ad52-5d86669e62a4
22.029594,3.924985,M,Caucasian,Male,58b88d99-e306-4789-ad52-5d86669e62a4
23.669024,4.8020434,M,Caucasian,Male,58b88d99-e306-4789-ad52-5d86669e62a4
34.7903,5.133366,F,African-American,Male,b750ff83-75e7-4960-bb26-70f156d8abb4
29.163807,3.5975323,F,African-American,Male,b750ff83-75e7-4960-bb26-70f156d8abb4
32.14234,7.0184016,F,African-American,Male,b750ff83-75e7-4960-bb26-70f156d8abb4
35.495335,6.02967,F,African-American,Female,49e8102e-efef-42ed-b7ef-48f22eec5245
35.42007,3.6128707,F,African-American,Female,49e8102e-efef-42ed-b7ef-48f22eec5245
30.61484,2.1775439,F,African-American,Female,49e8102e-efef-42ed-b7ef-48f22eec5245
39.294388,5.0491767,M,Caucasian,Male,cae5686e-ff94-4ee3-b97a-0e20aaad906e
36.48203,3.8128324,M,Caucasian,Male,cae5686e-ff94-4ee3-b97a-0e20aaad906e
37.053833,5.5786433,M,Caucasian,Male,cae5686e-ff94-4ee3-b97a-0e20aaad906e
42.776066,2.968949,M,African-American,Male,4c76844f-aa8c-4be6-9072-1f719f655ef0
45.927822,2.6703575,M,African-American,Male,4c76844f-aa8c-4be6-9072-1f719f655ef0
48.17139,3.1523857,M,African-American,Male,4c76844f-aa8c-4be6-9072-1f719f655ef0
21.789175,2.1638036,F,African-American,Male,e9217b8d-29da-450f-a3d1-ceea2f36afb3
23.918724,4.501284,F,African-American,Male,e9217b8d-29da-450f-a3d1-ceea2f36afb3
24.265917,1.7304463,F,African-American,Male,e9217b8d-29da-450f-a3d1-ceea2f36afb3
40.639797,0.0,F,Caucasian,Male,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
41.1444,0.0,F,Caucasian,Male,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
43.926216,0.0,F,Caucasian,Male,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
26.33945,0.0,F,Caucasian,Male,08db791a-1bf7-40f3-855f-d9997356aaf6
28.49671,2.9471862,F,Caucasian,Male,08db791a-1bf7-40f3-855f-d9997356aaf6
34.299915,0.0,F,Caucasian,Male,08db791a-1bf7-40f3-855f-d9997356aaf6
43.233246,0.0,M,Caucasian,Female,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
36.846138,0.72718793,M,Caucasian,Female,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
35.321926,1.3094109,M,Caucasian,Female,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
55.038994,1.9568143,F,Caucasian,Female,cab24951-a5d3-45a1-af9d-87ac48b25277
54.708904,5.3641067,F,Caucasian,Female,cab24951-a5d3-45a1-af9d-87ac48b25277
62.37918,1.9811304,F,Caucasian,Female,cab24951-a5d3-45a1-af9d-87ac48b25277
25.124022,4.0806203,M,Caucasian,Male,58b88d99-e306-4789-ad52-5d86669e62a4
24.487411,7.1068263,M,Caucasian,Male,58b88d99-e306-4789-ad52-5d86669e62a4
19.835932,7.217797,M,Caucasian,Male,58b88d99-e306-4789-ad52-5d86669e62a4
30.707767,5.9917235,F,African-American,Male,b750ff83-75e7-4960-bb26-70f156d8abb4
27.8227,5.4579554,F,African-American,Male,b750ff83-75e7-4960-bb26-70f156d8abb4
25.01802,1.2178688,F,African-American,Male,b750ff83-75e7-4960-bb26-70f156d8abb4
33.058655,5.037874,F,African-American,Female,49e8102e-efef-42ed-b7ef-48f22eec5245
34.9669,2.4901776,F,African-American,Female,49e8102e-efef-42ed-b7ef-48f22eec5245
31.531532,5.7810903,F,African-American,Female,49e8102e-efef-42ed-b7ef-48f22eec5245
30.763391,2.232983,F,Caucasian,Male,cae5686e-ff94-4ee3-b97a-0e20aaad906e
33.823193,4.6919656,M,Caucasian,Male,cae5686e-ff94-4ee3-b97a-0e20aaad906e
40.10276,4.5390577,M,Caucasian,Male,cae5686e-ff94-4ee3-b97a-0e20aaad906e
38.25357,0.7597462,M,African-American,Male,4c76844f-aa8c-4be6-9072-1f719f655ef0
48.305668,2.2865672,M,African-American,Male,4c76844f-aa8c-4be6-9072-1f719f655ef0
41.590572,5.573478,M,African-American,Male,4c76844f-aa8c-4be6-9072-1f719f655ef0
28.472998,1.0102887,F,African-American,Male,e9217b8d-29da-450f-a3d1-ceea2f36afb3
22.157463,5.543182,F,African-American,Male,e9217b8d-29da-450f-a3d1-ceea2f36afb3
19.75045,6.935724,F,African-American,Male,e9217b8d-29da-450f-a3d1-ceea2f36afb3
38.649124,0.7824571,F,Caucasian,Male,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
40.21926,0.0,F,Caucasian,Male,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
44.271408,0.0,F,Caucasian,Male,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
27.15972,0.21214646,F,Caucasian,Male,debc522b-6462-4d83-8666-7e68c2685fb0
32.019024,1.0476159,F,Caucasian,Male,debc522b-6462-4d83-8666-7e68c2685fb0
29.35312,0.0,F,Caucasian,Male,debc522b-6462-4d83-8666-7e68c2685fb0
39.61841,0.0,M,Caucasian,Female,dbb9fe92-1999-40dd-94aa-31326402010e
39.67809,0.0,M,African-American,Female,dbb9fe92-1999-40dd-94aa-31326402010e
43.66529,0.14801335,M,Caucasian,Female,dbb9fe92-1999-40dd-94aa-31326402010e
57.19897,0.99671257,F,Caucasian,Male,953e2dc9-159f-49b3-8635-0fb744640626
57.633625,3.9826655,F,Caucasian,Male,953e2dc9-159f-49b3-8635-0fb744640626
56.625256,3.8282754,F,African-American,Female,953e2dc9-159f-49b3-8635-0fb744640626
23.760822,5.783505,M,Caucasian,Male,92912727-d6e3-42dd-b9e5-fa186d24d01d
23.89326,3.3504486,M,Caucasian,Male,92912727-d6e3-42dd-b9e5-fa186d24d01d
24.93737,3.849772,M,Caucasian,Male,92912727-d6e3-42dd-b9e5-fa186d24d01d
31.364279,4.73384,F,African-American,Male,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
29.00557,6.5233116,F,African-American,Male,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
30.161022,5.638889,F,African-American,Male,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
38.43969,4.0896854,F,African-American,Female,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
32.431248,4.8521566,F,African-American,Female,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
34.055077,4.251008,F,African-American,Female,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
37.24536,5.0564847,M,Caucasian,Male,ffa6590d-2e40-4d57-8a33-0f87bde2b843
35.139603,3.9721327,M,Caucasian,Male,ffa6590d-2e40-4d57-8a33-0f87bde2b843
37.69517,3.9088302,M,Caucasian,Male,ffa6590d-2e40-4d57-8a33-0f87bde2b843
46.832603,3.5794046,M,African-American,Male,f15e6289-24d0-4505-bdad-45b72754798d
44.793026,4.0135274,M,African-American,Male,f15e6289-24d0-4505-bdad-45b72754798d
43.414,3.6249976,M,African-American,Male,f15e6289-24d0-4505-bdad-45b72754798d
24.026697,0.0,F,African-American,Male,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
23.862127,1.1836349,M,African-American,Male,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
25.746067,0.0,F,African-American,Male,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
37.99593,1.349287,F,Caucasian,Male,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
41.54847,2.580781,F,Caucasian,Male,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
38.766224,1.0487946,F,Caucasian,Male,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
28.380003,3.2548559,F,Caucasian,Male,debc522b-6462-4d83-8666-7e68c2685fb0
29.014874,0.41188347,F,Caucasian,Male,debc522b-6462-4d83-8666-7e68c2685fb0
27.850367,0.0,F,Caucasian,Male,debc522b-6462-4d83-8666-7e68c2685fb0
40.462433,0.0,M,Caucasian,Female,dbb9fe92-1999-40dd-94aa-31326402010e
41.287064,0.0,M,Caucasian,Female,dbb9fe92-1999-40dd-94aa-31326402010e
42.154587,0.0,M,Caucasian,Female,dbb9fe92-1999-40dd-94aa-31326402010e
53.356216,4.7824717,F,Caucasian,Female,953e2dc9-159f-49b3-8635-0fb744640626
55.849148,2.960122,F,Caucasian,Female,953e2dc9-159f-49b3-8635-0fb744640626
61.648197,5.025198,F,Caucasian,Female,953e2dc9-159f-49b3-8635-0fb744640626
24.310865,4.10014,M,Caucasian,Male,92912727-d6e3-42dd-b9e5-fa186d24d01d
24.779562,6.6890545,M,Caucasian,Male,92912727-d6e3-42dd-b9e5-fa186d24d01d
24.420523,5.032946,M,Caucasian,Male,92912727-d6e3-42dd-b9e5-fa186d24d01d
26.211388,5.8741627,F,African-American,Male,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
32.978798,7.226123,F,African-American,Female,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
29.340828,8.440904,F,African-American,Male,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
31.935701,5.6119657,F,African-American,Female,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
34.351128,4.4636674,F,African-American,Female,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
38.419518,4.451301,F,African-American,Female,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
34.32257,4.2598376,M,African-American,Male,ffa6590d-2e40-4d57-8a33-0f87bde2b843
33.95832,7.098209,M,Caucasian,Male,ffa6590d-2e40-4d57-8a33-0f87bde2b843
33.188164,3.782215,M,Caucasian,Male,ffa6590d-2e40-4d57-8a33-0f87bde2b843
44.73987,5.3721385,M,African-American,Male,f15e6289-24d0-4505-bdad-45b72754798d
45.81638,1.1375157,M,African-American,Male,f15e6289-24d0-4505-bdad-45b72754798d
44.48714,4.3082294,M,African-American,Male,f15e6289-24d0-4505-bdad-45b72754798d
26.7709,0.0,F,African-American,Male,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
19.572283,0.2790241,F,African-American,Male,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
24.289747,0.0,F,African-American,Male,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
43.615692,1.496464,F,African-American,Male,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
43.04291,0.0,F,Caucasian,Male,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
38.237324,0.27867633,F,Caucasian,Male,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
32.050888,2.9264283,F,Caucasian,Male,debc522b-6462-4d83-8666-7e68c2685fb0
31.492172,1.2710432,F,Caucasian,Male,debc522b-6462-4d83-8666-7e68c2685fb0
30.752586,0.0,F,Caucasian,Male,debc522b-6462-4d83-8666-7e68c2685fb0
43.21615,1.5895553,M,Caucasian,Female,dbb9fe92-1999-40dd-94aa-31326402010e
40.74121,3.8379676,M,Caucasian,Female,dbb9fe92-1999-40dd-94aa-31326402010e
45.776764,0.0,M,Caucasian,Female,dbb9fe92-1999-40dd-94aa-31326402010e
57.317368,1.2169054,F,Caucasian,Female,953e2dc9-159f-49b3-8635-0fb744640626
57.16624,1.9235204,F,Caucasian,Female,953e2dc9-159f-49b3-8635-0fb744640626
55.194775,7.794219,F,Caucasian,Female,953e2dc9-159f-49b3-8635-0fb744640626
29.702892,4.48776,M,Caucasian,Male,92912727-d6e3-42dd-b9e5-fa186d24d01d
20.228247,0.0,F,Caucasian,Male,92912727-d6e3-42dd-b9e5-fa186d24d01d
24.585945,5.999572,M,Caucasian,Male,92912727-d6e3-42dd-b9e5-fa186d24d01d
28.117594,8.521414,F,African-American,Male,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
33.162003,4.9340115,F,African-American,Male,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
33.141987,6.3855553,F,African-American,Male,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
30.387423,6.268626,M,African-American,Female,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
30.420177,3.7738495,F,African-American,Female,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
28.585283,7.030178,F,African-American,Female,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
47.53521,5.387374,M,Caucasian,Male,ffa6590d-2e40-4d57-8a33-0f87bde2b843
42.618122,4.6414914,M,Caucasian,Male,ffa6590d-2e40-4d57-8a33-0f87bde2b843
41.838474,2.0557406,M,Caucasian,Male,ffa6590d-2e40-4d57-8a33-0f87bde2b843
39.841434,1.4949784,M,African-American,Male,f15e6289-24d0-4505-bdad-45b72754798d
42.136635,2.7228608,M,African-American,Male,f15e6289-24d0-4505-bdad-45b72754798d
50.706417,1.7867126,M,African-American,Male,f15e6289-24d0-4505-bdad-45b72754798d
22.829329,0.0,F,Caucasian,Male,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
30.400639,0.60055864,F,African-American,Female,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
20.148293,3.3457472,F,African-American,Male,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
