employment_years,num_open_credit_acc,annual_income,credit_history,addr_state,home,loan_grade,purpose,query_id
1.7084095,4.1500497,4080.0,9.057554,CA,OWN,B,debt,bf9c880d-0a4e-4738-9121-7194c58abbbb
2.231278,6.728027,4080.0,13.079706,CA,OWN,B,debt,bf9c880d-0a4e-4738-9121-7194c58abbbb
2.1446617,9.551478,4080.0,5.581473,NY,RENT,B,debt,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
1.7110384,12.453705,110591.29,3.3540666,NY,RENT,B,debt,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
1.9402568,11.8371,363783.06,4.890197,NY,RENT,B,debt,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
8.763171,13.430239,172303.28,18.677015,CT,MORTGAGE,A,purchase,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
7.195561,14.370528,123385.92,14.005228,CT,MORTGAGE,A,purchase,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
7.5853577,14.648376,107076.51,14.036527,CT,MORTGAGE,A,purchase,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
6.485577,4.3969536,4080.0,5.432167,MO,MORTGAGE,C,debt,78783bca-b1c3-408b-8fae-ab147df145a0
5.9254766,8.702954,240619.12,3.776217,MO,MORTGAGE,C,debt,78783bca-b1c3-408b-8fae-ab147df145a0
5.638713,3.6252747,195452.42,6.812181,MO,MORTGAGE,C,debt,78783bca-b1c3-408b-8fae-ab147df145a0
9.8380375,6.170643,4080.0,17.563639,CA,RENT,B,small_business,34756fc1-3737-482a-9c4c-d185f4473025
10.0,5.8924675,4080.0,21.657595,CA,RENT,B,small_business,34756fc1-3737-482a-9c4c-d185f4473025
9.19036,6.0855293,4080.0,16.891344,CA,RENT,B,small_business,34756fc1-3737-482a-9c4c-d185f4473025
4.1308446,11.003906,24371.26,16.331068,TX,MORTGAGE,A,debt,9b91920a-5030-4174-b110-342689324b7b
4.3935504,10.670579,419887.16,20.782513,MT,MORTGAGE,A,debt,9b91920a-5030-4174-b110-342689324b7b
5.0523214,13.68888,4080.0,9.763094,ID,MORTGAGE,A,debt,9b91920a-5030-4174-b110-342689324b7b
4.6907163,6.2924275,4080.0,10.682005,CA,OWN,D,debt,96248f60-af98-4849-a2c3-7f0c32a5b064
5.3718877,5.4914794,99527.016,11.805204,CA,OWN,D,debt,96248f60-af98-4849-a2c3-7f0c32a5b064
5.2731442,2.3896556,226458.11,10.527944,CA,OWN,D,debt,96248f60-af98-4849-a2c3-7f0c32a5b064
0.07691637,9.379879,4080.0,3.0,OH,RENT,C,purchase,8789839b-b340-426a-b401-103cae80ed80
1.3239993,2.0,235341.1,6.1310863,OH,RENT,C,purchase,8789839b-b340-426a-b401-103cae80ed80
0.9508732,5.754957,4080.0,4.2155933,OH,RENT,F,purchase,8789839b-b340-426a-b401-103cae80ed80
3.2836332,14.648871,741360.0,8.714554,FL,RENT,C,purchase,3ca58408-e553-41fe-85ed-6d007ddf4e91
3.3585727,15.306494,4080.0,16.874363,FL,RENT,B,purchase,3ca58408-e553-41fe-85ed-6d007ddf4e91
2.7670982,14.845392,4080.0,17.063942,AR,RENT,C,purchase,3ca58408-e553-41fe-85ed-6d007ddf4e91
4.26923,13.900035,4080.0,14.0706625,PA,MORTGAGE,F,purchase,9a728747-c10d-4f89-9c33-4c9a25e23e94
3.9117684,13.118758,249481.36,16.457687,PA,MORTGAGE,F,purchase,9a728747-c10d-4f89-9c33-4c9a25e23e94
3.5799265,11.863141,12120.108,17.231373,PA,MORTGAGE,F,purchase,9a728747-c10d-4f89-9c33-4c9a25e23e94
1.1890465,10.260424,23047.986,9.481819,CA,OWN,B,debt,bf9c880d-0a4e-4738-9121-7194c58abbbb
2.4998012,6.301631,143920.33,10.847134,CA,MORTGAGE,B,debt,bf9c880d-0a4e-4738-9121-7194c58abbbb
2.8781943,4.1491785,4080.0,12.769089,CA,OWN,B,debt,bf9c880d-0a4e-4738-9121-7194c58abbbb
3.008264,9.266628,4080.0,6.6122975,NY,RENT,B,debt,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
2.4555836,11.841791,337409.53,3.4859817,NY,RENT,B,debt,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
0.955853,7.9301963,4080.0,6.2978525,NY,RENT,B,debt,c5d1e825-3697-4ab1-a39f-4e6ed572dc42
8.221678,18.647648,159576.27,21.393082,CT,MORTGAGE,A,purchase,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
6.7997217,11.868052,411173.38,18.284327,CT,OWN,A,purchase,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
7.995935,16.095503,302749.7,18.00159,CT,MORTGAGE,A,purchase,31269527-47fa-4b80-a4d1-85bcf8b3d5e5
7.210717,7.7237597,4080.0,8.395106,MO,MORTGAGE,C,debt,78783bca-b1c3-408b-8fae-ab147df145a0
4.6201706,7.140365,137687.94,8.692948,MO,MORTGAGE,C,debt,78783bca-b1c3-408b-8fae-ab147df145a0
6.106592,6.641584,4080.0,3.223453,MO,MORTGAGE,C,debt,78783bca-b1c3-408b-8fae-ab147df145a0
10.0,2.0,4080.0,21.349571,CA,RENT,B,small_business,34756fc1-3737-482a-9c4c-d185f4473025
8.629095,2.0,34729.688,11.845797,KS,RENT,B,small_business,34756fc1-3737-482a-9c4c-d185f4473025
8.627386,8.331055,4080.0,21.485287,CA,RENT,B,small_business,34756fc1-3737-482a-9c4c-d185f4473025
4.191305,9.194738,176192.08,19.523968,TX,MORTGAGE,A,debt,9b91920a-5030-4174-b110-342689324b7b
3.6982906,12.49602,157174.66,10.371908,TX,OTHER,A,debt,9b91920a-5030-4174-b110-342689324b7b
5.1141806,18.435946,174639.4,10.026931,OK,MORTGAGE,A,debt,9b91920a-5030-4174-b110-342689324b7b
4.126062,2.0,4080.0,16.521616,CA,OWN,D,debt,96248f60-af98-4849-a2c3-7f0c32a5b064
6.2716045,8.71872,4080.0,13.922479,CA,RENT,F,debt,96248f60-af98-4849-a2c3-7f0c32a5b064
5.92545,8.3472,658375.9,9.060288,CA,OWN,D,debt,96248f60-af98-4849-a2c3-7f0c32a5b064
1.6849008,5.5699606,4080.0,3.3332748,OH,RENT,C,purchase,8789839b-b340-426a-b401-103cae80ed80
1.485957,2.0,128835.06,5.6879416,TN,RENT,C,purchase,8789839b-b340-426a-b401-103cae80ed80
0.0,2.0,4080.0,5.6787715,OH,RENT,C,purchase,8789839b-b340-426a-b401-103cae80ed80
