status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A61,... < 1 year,3.0,male : married/widowed,none,3.0,real estate,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,632e1e92-0168-4746-a3fb-5570b98caeb4
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),1860.0,A61,unemployed,4.0,male : married/widowed,none,2.0,"if not A121/A122 : car or other, not in attribute 6",34.0,none,own,2.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,d4b50a09-66dd-4966-961f-772ee280d9a9
... < 0 DM,24.0,delay in paying off in the past,radio/television,1024.0,A61,... < 1 year,4.0,male : married/widowed,none,4.0,real estate,48.0,stores,own,1.0,skilled employee / official,1.0,none,no,1760be5e-7c4c-44cc-8c0f-559b5d242b2e
no checking account,18.0,no credits taken/ all credits paid back duly,business,3104.0,A61,4 <= ... < 7 years,3.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,31.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,7fb8d9b0-fd4b-44e2-bed0-19700b6bf632
... < 0 DM,27.0,existing credits paid back duly till now,radio/television,2520.0,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,23.0,none,own,2.0,unskilled - resident,1.0,none,yes,7a47de78-4402-4421-9a08-3170176111ec
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),882.0,A61,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,real estate,23.0,none,own,2.0,skilled employee / official,1.0,none,yes,bd399bfd-93f8-4358-a3c0-a1fc7aa436a9
0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,3612.0,A61,unemployed,3.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,37.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,55b88a71-d4f7-41d9-97da-2623cd7fb201
... < 0 DM,6.0,existing credits paid back duly till now,radio/television,1352.0,A61,unemployed,3.0,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,23.0,none,rent,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,8fbfa18f-2ea0-4a62-8ae7-e569842c6bc6
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,A61,4 <= ... < 7 years,3.0,male : single,none,3.0,unknown / no property,28.0,none,rent,1.0,unskilled - resident,1.0,none,yes,203a3182-39ec-4c33-a7f1-5fe8701fe074
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),1322.0,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",40.0,none,own,2.0,skilled employee / official,1.0,none,yes,1d44c1ec-5dd8-4ccf-ae76-e020fd9d6c56
