status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),972.5612182617188,A61,unemployed,4.0,male : married/widowed,none,1.9317716360092163,"if not A121/A122 : car or other, not in attribute 6",38.85025405883789,none,own,1.8061447143554688,management/ self-employed/ highly qualified employee/ officer,1.0677595138549805,none,yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
... < 0 DM,22.821144104003903,delay in paying off in the past,radio/television,1571.419677734375,A61,... < 1 year,4.0,male : married/widowed,none,3.852154731750488,real estate,48.90729522705078,stores,own,1.202028512954712,skilled employee / official,1.059317111968994,none,no,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
... < 0 DM,20.273481369018555,delay in paying off in the past,radio/television,2824.83935546875,A61,... < 1 year,3.99990177154541,male : married/widowed,none,4.0,real estate,45.00998306274414,stores,own,1.0,skilled employee / official,1.0099141597747805,none,no,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
... >= 200 DM / salary assignments for at least 1 year,28.05544853210449,delay in paying off in the past,radio/television,1876.46142578125,A61,1 <= ... < 4 years,3.990167856216431,male : married/widowed,none,4.0,real estate,47.5350456237793,none,rent,1.089261770248413,skilled employee / official,1.0,none,yes,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
... < 0 DM,15.85026741027832,critical account/ other credits existing (not at this bank),business,1558.074462890625,A61,4 <= ... < 7 years,3.067301988601685,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,34.01900863647461,bank,own,1.263780117034912,skilled employee / official,1.0194644927978516,none,yes,f28728d7-1f8f-490b-a85a-ce005346ada0
no checking account,16.845821380615234,no credits taken/ all credits paid back duly,business,3283.971923828125,A61,4 <= ... < 7 years,2.948737382888794,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,22.80986976623535,bank,own,1.0,skilled employee / official,1.0155155658721924,"yes, registered under the customers name",yes,f28728d7-1f8f-490b-a85a-ce005346ada0
no checking account,25.237812042236328,no credits taken/ all credits paid back duly,business,3117.729248046875,A61,4 <= ... < 7 years,3.054029941558838,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,32.69693374633789,bank,own,1.1784353256225586,skilled employee / official,1.0,"yes, registered under the customers name",yes,f28728d7-1f8f-490b-a85a-ce005346ada0
0 <= ... < 200 DM,31.9021110534668,delay in paying off in the past,radio/television,4133.24267578125,A63,1 <= ... < 4 years,3.695780277252197,male : single,none,2.079896211624145,unknown / no property,21.238021850585938,stores,own,2.161750555038452,unskilled - resident,1.105969786643982,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
... < 0 DM,32.50007247924805,existing credits paid back duly till now,radio/television,3362.521240234375,A62,1 <= ... < 4 years,3.730873107910156,female : divorced/separated/married,none,1.887312412261963,if not A121 : building society savings agreement/ life insurance,21.774805068969727,none,own,1.8327720165252688,unskilled - resident,1.0136922597885132,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
... < 0 DM,21.792556762695312,existing credits paid back duly till now,radio/television,309.1697692871094,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.9960620403289795,if not A121 : building society savings agreement/ life insurance,24.80536651611328,none,own,2.017985343933105,unskilled - resident,1.0,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),2091.6162109375,A61,... < 1 year,3.981313705444336,male : divorced/separated,guarantor,4.0,real estate,27.15245819091797,none,own,2.074337959289551,skilled employee / official,1.0,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),674.4476928710938,A61,... < 1 year,3.6859383583068848,male : divorced/separated,guarantor,4.0,real estate,23.867652893066406,none,own,1.9216339588165283,skilled employee / official,1.0,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),1626.3516845703125,A61,... < 1 year,3.73771905899048,male : divorced/separated,guarantor,3.7857234477996826,real estate,20.325214385986328,none,own,2.0470452308654785,skilled employee / official,1.0,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
0 <= ... < 200 DM,19.096996307373047,delay in paying off in the past,furniture/equipment,4336.1787109375,A61,unemployed,3.054296493530273,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,35.83088684082031,none,own,1.1621787548065186,management/ self-employed/ highly qualified employee/ officer,1.0388668775558472,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,2795.376953125,A61,unemployed,2.8192782402038574,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,35.22150039672852,none,own,1.0456669330596924,management/ self-employed/ highly qualified employee/ officer,1.0526950359344482,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,2390.329833984375,A61,unemployed,2.997631072998047,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,36.18685150146485,none,own,1.1257811784744265,management/ self-employed/ highly qualified employee/ officer,1.0002007484436035,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
... < 0 DM,8.571003913879395,existing credits paid back duly till now,education,658.7398071289062,A61,unemployed,1.0,female : divorced/separated/married,none,1.6802022457122805,if not A121 : building society savings agreement/ life insurance,28.83823013305664,stores,rent,1.0,unemployed/ unskilled - non-resident,1.0573959350585938,"yes, registered under the customers name",yes,be4df02b-e0ee-4bc9-83c7-958f199907c8
... < 0 DM,6.371685981750488,existing credits paid back duly till now,car (new),1544.1279296875,A61,unemployed,1.0,female : divorced/separated/married,co-applicant,2.383704662322998,if not A121 : building society savings agreement/ life insurance,24.52043914794922,none,rent,1.0,unemployed/ unskilled - non-resident,1.0719653367996216,"yes, registered under the customers name",yes,be4df02b-e0ee-4bc9-83c7-958f199907c8
... < 0 DM,4.0,existing credits paid back duly till now,radio/television,1946.9215087890625,A61,unemployed,3.0,female : divorced/separated/married,none,1.946346402168274,if not A121 : building society savings agreement/ life insurance,21.41795921325684,none,rent,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,be4df02b-e0ee-4bc9-83c7-958f199907c8
0 <= ... < 200 DM,15.29850959777832,existing credits paid back duly till now,car (new),5923.0009765625,A61,1 <= ... < 4 years,2.9879567623138428,female : divorced/separated/married,none,2.924006462097168,real estate,27.7430477142334,none,rent,1.0,unskilled - resident,1.0376672744750977,"yes, registered under the customers name",yes,f8ebf506-894b-45e0-9e12-0c5bf412928b
0 <= ... < 200 DM,15.979144096374512,existing credits paid back duly till now,car (new),6405.26318359375,A61,4 <= ... < 7 years,2.966549873352051,male : single,none,2.960063934326172,unknown / no property,28.901256561279297,none,rent,1.0355373620986938,unskilled - resident,1.0,none,yes,f8ebf506-894b-45e0-9e12-0c5bf412928b
0 <= ... < 200 DM,22.022647857666016,existing credits paid back duly till now,car (new),4966.25048828125,A61,4 <= ... < 7 years,2.9414150714874268,male : married/widowed,none,2.8403656482696533,real estate,31.49298477172852,none,rent,1.1377739906311035,unskilled - resident,1.0145866870880127,none,yes,f8ebf506-894b-45e0-9e12-0c5bf412928b
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),276.0,A61,1 <= ... < 4 years,3.972447872161865,male : divorced/separated,none,3.938309669494629,"if not A121/A122 : car or other, not in attribute 6",34.97876739501953,none,own,2.137409448623657,skilled employee / official,1.0569411516189575,none,yes,bf365c45-e25f-465d-85f6-951a0fc5fe2b
0 <= ... < 200 DM,13.853608131408691,critical account/ other credits existing (not at this bank),car (new),1440.322021484375,A61,unemployed,4.0,male : divorced/separated,none,3.8662612438201904,"if not A121/A122 : car or other, not in attribute 6",39.56557846069336,none,own,1.9731613397598269,skilled employee / official,1.0,none,yes,bf365c45-e25f-465d-85f6-951a0fc5fe2b
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),1588.66455078125,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",39.41311264038086,none,own,1.8246493339538568,skilled employee / official,1.0206689834594729,"yes, registered under the customers name",yes,bf365c45-e25f-465d-85f6-951a0fc5fe2b
0 <= ... < 200 DM,20.418701171875,existing credits paid back duly till now,business,2052.835693359375,A61,... < 1 year,3.231293201446533,male : married/widowed,none,3.0508570671081543,real estate,39.8447380065918,bank,own,1.2196898460388184,skilled employee / official,1.0666941404342651,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,16.63961410522461,existing credits paid back duly till now,business,1343.447509765625,A61,... < 1 year,3.170804977416992,male : married/widowed,none,2.992802143096924,real estate,33.59907531738281,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,15.834732055664062,existing credits paid back duly till now,business,1786.6597900390625,A61,... < 1 year,2.75547742843628,male : married/widowed,none,2.8809967041015625,real estate,32.550148010253906,bank,own,1.1111366748809814,skilled employee / official,1.009947657585144,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),2240.54541015625,A61,unemployed,3.742039680480957,male : married/widowed,none,2.064068555831909,"if not A121/A122 : car or other, not in attribute 6",28.877864837646484,none,own,1.9285204410552976,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),3768.88134765625,A61,unemployed,4.0,male : married/widowed,none,2.015249967575073,"if not A121/A122 : car or other, not in attribute 6",33.12660598754883,none,own,2.1685590744018555,management/ self-employed/ highly qualified employee/ officer,1.0020077228546145,"yes, registered under the customers name",yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),2115.294189453125,A61,unemployed,3.7446789741516113,male : married/widowed,none,2.595250129699707,"if not A121/A122 : car or other, not in attribute 6",32.761817932128906,none,own,1.969508171081543,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
... < 0 DM,23.05608367919922,delay in paying off in the past,radio/television,276.0,A61,... < 1 year,4.0,male : married/widowed,none,3.931029319763184,real estate,45.16867446899414,stores,own,1.0,skilled employee / official,1.0,none,no,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
... < 0 DM,27.301130294799805,delay in paying off in the past,radio/television,935.8204956054688,A61,... < 1 year,4.0,male : married/widowed,none,4.0,real estate,42.70084381103516,stores,own,1.0,skilled employee / official,1.0,none,no,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
... < 0 DM,24.75352668762207,delay in paying off in the past,radio/television,276.0,A61,... < 1 year,3.677400827407837,male : married/widowed,none,4.0,real estate,46.693885803222656,stores,own,1.0,skilled employee / official,1.0,none,no,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
... < 0 DM,22.16247940063477,no credits taken/ all credits paid back duly,business,3302.52001953125,A61,4 <= ... < 7 years,2.770683765411377,male : single,none,1.1161434650421145,if not A121 : building society savings agreement/ life insurance,38.25667572021485,bank,own,1.3026933670043943,skilled employee / official,1.0,"yes, registered under the customers name",yes,f28728d7-1f8f-490b-a85a-ce005346ada0
... < 0 DM,17.402210235595703,critical account/ other credits existing (not at this bank),business,4889.59521484375,A61,4 <= ... < 7 years,3.0774428844451904,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,33.941654205322266,bank,own,1.0301218032836914,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,f28728d7-1f8f-490b-a85a-ce005346ada0
no checking account,16.1271915435791,no credits taken/ all credits paid back duly,business,2620.634765625,A61,4 <= ... < 7 years,3.1566028594970703,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,27.54949951171875,bank,own,1.1053630113601685,skilled employee / official,1.093070387840271,"yes, registered under the customers name",yes,f28728d7-1f8f-490b-a85a-ce005346ada0
0 <= ... < 200 DM,30.45114517211914,critical account/ other credits existing (not at this bank),radio/television,440.9358825683594,A61,1 <= ... < 4 years,4.0,male : single,none,1.8913596868515008,unknown / no property,27.775632858276367,none,rent,1.98301100730896,unskilled - resident,1.0,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
... < 0 DM,22.424989700317383,existing credits paid back duly till now,radio/television,3547.853759765625,A62,1 <= ... < 4 years,3.985907077789306,female : divorced/separated/married,none,2.136044502258301,if not A121 : building society savings agreement/ life insurance,31.010326385498047,none,own,1.8722131252288816,unskilled - resident,1.0710283517837524,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
... < 0 DM,25.13404083251953,existing credits paid back duly till now,radio/television,732.4348754882812,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.6061880588531494,if not A121 : building society savings agreement/ life insurance,19.0,none,own,1.8399949073791504,unskilled - resident,1.10992693901062,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),427.2784118652344,A61,... < 1 year,3.474278450012207,male : divorced/separated,guarantor,4.0,real estate,23.72641944885254,none,own,2.24456000328064,skilled employee / official,1.0,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),508.9696044921875,A61,... < 1 year,4.0,male : divorced/separated,guarantor,3.88184118270874,real estate,23.635631561279297,none,own,1.676128625869751,skilled employee / official,1.1010490655899048,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
... < 0 DM,12.257525444030762,all credits at this bank paid back duly,radio/television,1608.4195556640625,A61,.. >= 7 years,4.0,male : single,guarantor,4.0,real estate,19.0,bank,own,1.9319804906845093,unskilled - resident,1.0693743228912354,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,2064.0,A61,unemployed,3.0,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,38.609710693359375,none,own,1.1988836526870728,management/ self-employed/ highly qualified employee/ officer,1.039806246757507,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,3991.2353515625,A61,unemployed,2.6261563301086426,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,34.215518951416016,none,own,1.3533750772476196,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,3643.199951171875,A61,unemployed,2.839791774749756,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,30.12374687194824,none,own,1.2114768028259275,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
