status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,26,delay in paying off in the past,radio/television,2510,A63,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,19,none,own,2,unskilled - resident,1,none,no,0a9c2743-e4c9-4e0a-b33b-2c8ea7656a9a
0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),business,2463,A63,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,48,none,own,4,unemployed/ unskilled - non-resident,1,none,yes,0a9c2743-e4c9-4e0a-b33b-2c8ea7656a9a
0 <= ... < 200 DM,30,all credits at this bank paid back duly,radio/television,329,A61,1 <= ... < 4 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,4,unskilled - resident,2,none,yes,0a9c2743-e4c9-4e0a-b33b-2c8ea7656a9a
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),radio/television,4994,A63,1 <= ... < 4 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,4,unskilled - resident,2,none,yes,0a9c2743-e4c9-4e0a-b33b-2c8ea7656a9a
0 <= ... < 200 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,747,A61,... < 1 year,4,male : single,guarantor,4,real estate,37,none,for free,4,unemployed/ unskilled - non-resident,1,none,yes,c899665e-907d-49e4-9bb0-1153a4236c44
no checking account,13,no credits taken/ all credits paid back duly,business,1080,A61,... < 1 year,4,male : single,guarantor,4,real estate,19,none,own,2,skilled employee / official,1,none,yes,c899665e-907d-49e4-9bb0-1153a4236c44
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,848,A62,... < 1 year,4,male : single,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,4,skilled employee / official,2,none,no,c899665e-907d-49e4-9bb0-1153a4236c44
0 <= ... < 200 DM,18,all credits at this bank paid back duly,radio/television,276,A61,unemployed,4,male : single,guarantor,4,real estate,27,none,own,4,skilled employee / official,2,none,yes,c899665e-907d-49e4-9bb0-1153a4236c44
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),radio/television,2372,A61,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,4,skilled employee / official,2,none,yes,c899665e-907d-49e4-9bb0-1153a4236c44
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3454,A61,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,4,unemployed/ unskilled - non-resident,2,none,yes,cbb33b00-c33b-4885-90b4-85e592d1114f
0 <= ... < 200 DM,18,all credits at this bank paid back duly,furniture/equipment,3747,A61,.. >= 7 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,35,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no,cbb33b00-c33b-4885-90b4-85e592d1114f
0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3560,A61,.. >= 7 years,4,female : divorced/separated/married,guarantor,4,if not A121 : building society savings agreement/ life insurance,57,none,own,1,skilled employee / official,1,none,yes,cbb33b00-c33b-4885-90b4-85e592d1114f
0 <= ... < 200 DM,31,all credits at this bank paid back duly,furniture/equipment,3650,A63,.. >= 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,for free,4,skilled employee / official,2,"yes, registered under the customers name",yes,cbb33b00-c33b-4885-90b4-85e592d1114f
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),furniture/equipment,5943,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,4,skilled employee / official,2,none,yes,cbb33b00-c33b-4885-90b4-85e592d1114f
... < 0 DM,7,existing credits paid back duly till now,repairs,1489,A63,unemployed,1,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,1,unemployed/ unskilled - non-resident,2,none,yes,2c616f1b-802c-4e11-8654-4a652bcf47d6
... < 0 DM,6,all credits at this bank paid back duly,car (used),1274,A63,unemployed,1,female : divorced/separated/married,co-applicant,2,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no,2c616f1b-802c-4e11-8654-4a652bcf47d6
... < 0 DM,7,existing credits paid back duly till now,car (used),1807,A63,unemployed,4,female : divorced/separated/married,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",23,none,for free,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,2c616f1b-802c-4e11-8654-4a652bcf47d6
... < 0 DM,5,all credits at this bank paid back duly,car (used),1393,A63,... < 1 year,1,female : divorced/separated/married,guarantor,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,4,unemployed/ unskilled - non-resident,2,none,yes,2c616f1b-802c-4e11-8654-4a652bcf47d6
... < 0 DM,59,all credits at this bank paid back duly,car (used),1288,A63,unemployed,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,2c616f1b-802c-4e11-8654-4a652bcf47d6
0 <= ... < 200 DM,17,existing credits paid back duly till now,furniture/equipment,6252,A61,... < 1 year,4,male : single,none,3,real estate,28,none,rent,1,unemployed/ unskilled - non-resident,2,none,yes,e0417151-f88b-4f30-a975-28efb951a6fe
0 <= ... < 200 DM,18,delay in paying off in the past,business,6133,A61,4 <= ... < 7 years,3,male : single,co-applicant,3,real estate,28,none,rent,4,unskilled - resident,1,none,no,e0417151-f88b-4f30-a975-28efb951a6fe
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6220,A63,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,for free,4,unskilled - resident,2,none,yes,e0417151-f88b-4f30-a975-28efb951a6fe
... < 0 DM,25,all credits at this bank paid back duly,car (new),6311,A61,4 <= ... < 7 years,4,male : single,guarantor,4,real estate,24,none,rent,1,unskilled - resident,2,none,yes,e0417151-f88b-4f30-a975-28efb951a6fe
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7322,A61,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,4,unskilled - resident,2,none,yes,e0417151-f88b-4f30-a975-28efb951a6fe
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),furniture/equipment,1359,A63,1 <= ... < 4 years,4,male : single,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,4,skilled employee / official,1,none,yes,1536a816-48da-4c87-a9fa-b0f667c7e45b
0 <= ... < 200 DM,11,delay in paying off in the past,car (new),1328,A64,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,4,unemployed/ unskilled - non-resident,1,none,no,1536a816-48da-4c87-a9fa-b0f667c7e45b
... < 0 DM,11,all credits at this bank paid back duly,car (new),1718,A64,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",47,none,for free,4,skilled employee / official,2,none,yes,1536a816-48da-4c87-a9fa-b0f667c7e45b
0 <= ... < 200 DM,23,all credits at this bank paid back duly,car (new),1263,A61,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",19,none,own,4,skilled employee / official,2,none,yes,1536a816-48da-4c87-a9fa-b0f667c7e45b
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),car (new),1371,A64,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,4,unemployed/ unskilled - non-resident,2,none,yes,1536a816-48da-4c87-a9fa-b0f667c7e45b
0 <= ... < 200 DM,26,all credits at this bank paid back duly,business,3039,A63,... < 1 year,4,male : single,none,3,real estate,33,none,own,1,unemployed/ unskilled - non-resident,2,none,yes,b13dc60b-3755-4886-a7cf-fb9393b068f8
0 <= ... < 200 DM,21,all credits at this bank paid back duly,business,2235,A64,... < 1 year,4,male : married/widowed,co-applicant,3,real estate,36,bank,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no,b13dc60b-3755-4886-a7cf-fb9393b068f8
0 <= ... < 200 DM,17,existing credits paid back duly till now,business,1401,A63,... < 1 year,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",36,bank,for free,4,skilled employee / official,2,"yes, registered under the customers name",yes,b13dc60b-3755-4886-a7cf-fb9393b068f8
0 <= ... < 200 DM,17,existing credits paid back duly till now,business,1908,A64,... < 1 year,4,male : married/widowed,guarantor,4,real estate,46,bank,own,4,unemployed/ unskilled - non-resident,2,none,yes,b13dc60b-3755-4886-a7cf-fb9393b068f8
0 <= ... < 200 DM,60,all credits at this bank paid back duly,business,1953,A64,... < 1 year,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",36,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,b13dc60b-3755-4886-a7cf-fb9393b068f8
0 <= ... < 200 DM,26,all credits at this bank paid back duly,business,3039,A63,... < 1 year,4,male : single,none,3,real estate,33,none,own,1,unemployed/ unskilled - non-resident,2,none,yes,4a6adc5d-0987-4708-8201-d1c93f9d4a38
0 <= ... < 200 DM,21,all credits at this bank paid back duly,business,2235,A64,... < 1 year,4,male : married/widowed,co-applicant,3,real estate,36,bank,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no,4a6adc5d-0987-4708-8201-d1c93f9d4a38
0 <= ... < 200 DM,17,existing credits paid back duly till now,business,1401,A63,... < 1 year,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",36,bank,for free,4,skilled employee / official,2,"yes, registered under the customers name",yes,4a6adc5d-0987-4708-8201-d1c93f9d4a38
0 <= ... < 200 DM,17,existing credits paid back duly till now,business,1908,A64,... < 1 year,4,male : married/widowed,guarantor,4,real estate,46,bank,own,4,unemployed/ unskilled - non-resident,2,none,yes,4a6adc5d-0987-4708-8201-d1c93f9d4a38
0 <= ... < 200 DM,60,all credits at this bank paid back duly,business,1953,A64,... < 1 year,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",36,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,4a6adc5d-0987-4708-8201-d1c93f9d4a38
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),repairs,2211,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,for free,2,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,85afd389-4566-48eb-a3c5-0ca02b5ce406
0 <= ... < 200 DM,11,delay in paying off in the past,car (used),1265,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,4,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no,85afd389-4566-48eb-a3c5-0ca02b5ce406
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1871,A61,unemployed,4,male : single,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",75,none,own,4,management/ self-employed/ highly qualified employee/ officer,2,none,yes,85afd389-4566-48eb-a3c5-0ca02b5ce406
0 <= ... < 200 DM,21,all credits at this bank paid back duly,car (used),1917,A61,unemployed,4,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",21,none,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,85afd389-4566-48eb-a3c5-0ca02b5ce406
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),car (used),1868,A61,unemployed,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,85afd389-4566-48eb-a3c5-0ca02b5ce406
... < 0 DM,23,delay in paying off in the past,repairs,1106,A63,... < 1 year,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",48,none,own,1,skilled employee / official,1,none,yes,feb99767-4b22-4d5f-9cbb-3daa84e8d22c
... < 0 DM,24,delay in paying off in the past,radio/television,2442,A61,... < 1 year,4,male : married/widowed,co-applicant,4,real estate,48,stores,own,1,unemployed/ unskilled - non-resident,1,none,no,feb99767-4b22-4d5f-9cbb-3daa84e8d22c
... < 0 DM,23,delay in paying off in the past,radio/television,1199,A61,... < 1 year,4,male : single,none,4,real estate,47,none,for free,1,skilled employee / official,2,none,yes,feb99767-4b22-4d5f-9cbb-3daa84e8d22c
... < 0 DM,36,all credits at this bank paid back duly,radio/television,356,A61,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,4,unemployed/ unskilled - non-resident,2,none,yes,feb99767-4b22-4d5f-9cbb-3daa84e8d22c
... < 0 DM,60,delay in paying off in the past,radio/television,1057,A61,... < 1 year,4,male : married/widowed,guarantor,4,real estate,57,stores,own,4,skilled employee / official,2,none,yes,feb99767-4b22-4d5f-9cbb-3daa84e8d22c
... < 0 DM,18,all credits at this bank paid back duly,business,3124,A61,4 <= ... < 7 years,4,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",31,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,2c72e1df-37fe-4177-b794-7ea58a0b1c9f
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3029,A61,... < 1 year,3,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",31,bank,for free,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,2c72e1df-37fe-4177-b794-7ea58a0b1c9f
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3110,A61,unemployed,4,male : single,guarantor,4,if not A121 : building society savings agreement/ life insurance,31,bank,own,4,skilled employee / official,1,none,yes,2c72e1df-37fe-4177-b794-7ea58a0b1c9f
... < 0 DM,27,no credits taken/ all credits paid back duly,business,3519,A63,4 <= ... < 7 years,4,male : single,guarantor,1,if not A121 : building society savings agreement/ life insurance,30,bank,own,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,2c72e1df-37fe-4177-b794-7ea58a0b1c9f
... < 0 DM,60,no credits taken/ all credits paid back duly,business,3087,A61,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,2c72e1df-37fe-4177-b794-7ea58a0b1c9f
... < 0 DM,27,critical account/ other credits existing (not at this bank),radio/television,2510,A63,1 <= ... < 4 years,4,male : single,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",23,none,for free,4,unskilled - resident,2,none,yes,10ae5ffd-b128-4efa-817d-e7e19d9b0936
0 <= ... < 200 DM,26,delay in paying off in the past,radio/television,2510,A63,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,19,none,own,2,unskilled - resident,1,none,no,10ae5ffd-b128-4efa-817d-e7e19d9b0936
0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),business,2463,A63,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,48,none,own,4,unemployed/ unskilled - non-resident,1,none,yes,10ae5ffd-b128-4efa-817d-e7e19d9b0936
0 <= ... < 200 DM,30,all credits at this bank paid back duly,radio/television,329,A61,1 <= ... < 4 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,4,unskilled - resident,2,none,yes,10ae5ffd-b128-4efa-817d-e7e19d9b0936
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),radio/television,4994,A63,1 <= ... < 4 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,4,unskilled - resident,2,none,yes,10ae5ffd-b128-4efa-817d-e7e19d9b0936
0 <= ... < 200 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,747,A61,... < 1 year,4,male : single,guarantor,4,real estate,37,none,for free,4,unemployed/ unskilled - non-resident,1,none,yes,4c0d3150-c0d3-4f85-8559-f384fd90965d
no checking account,13,no credits taken/ all credits paid back duly,business,1080,A61,... < 1 year,4,male : single,guarantor,4,real estate,19,none,own,2,skilled employee / official,1,none,yes,4c0d3150-c0d3-4f85-8559-f384fd90965d
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,848,A62,... < 1 year,4,male : single,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,4,skilled employee / official,2,none,no,4c0d3150-c0d3-4f85-8559-f384fd90965d
0 <= ... < 200 DM,18,all credits at this bank paid back duly,radio/television,276,A61,unemployed,4,male : single,guarantor,4,real estate,27,none,own,4,skilled employee / official,2,none,yes,4c0d3150-c0d3-4f85-8559-f384fd90965d
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),radio/television,2372,A61,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,4,skilled employee / official,2,none,yes,4c0d3150-c0d3-4f85-8559-f384fd90965d
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3454,A61,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,4,unemployed/ unskilled - non-resident,2,none,yes,aa354f7b-27cb-4f91-8550-05e3a8abafa6
0 <= ... < 200 DM,18,all credits at this bank paid back duly,furniture/equipment,3747,A61,.. >= 7 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,35,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no,aa354f7b-27cb-4f91-8550-05e3a8abafa6
0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3560,A61,.. >= 7 years,4,female : divorced/separated/married,guarantor,4,if not A121 : building society savings agreement/ life insurance,57,none,own,1,skilled employee / official,1,none,yes,aa354f7b-27cb-4f91-8550-05e3a8abafa6
0 <= ... < 200 DM,31,all credits at this bank paid back duly,furniture/equipment,3650,A63,.. >= 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,for free,4,skilled employee / official,2,"yes, registered under the customers name",yes,aa354f7b-27cb-4f91-8550-05e3a8abafa6
0 <= ... < 200 DM,60,critical account/ other credits existing (not at this bank),furniture/equipment,5943,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,4,skilled employee / official,2,none,yes,aa354f7b-27cb-4f91-8550-05e3a8abafa6
... < 0 DM,7,existing credits paid back duly till now,repairs,1489,A63,unemployed,1,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,1,unemployed/ unskilled - non-resident,2,none,yes,d48209db-370b-4c11-b833-c374c978fe94
... < 0 DM,6,all credits at this bank paid back duly,car (used),1274,A63,unemployed,1,female : divorced/separated/married,co-applicant,2,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",no,d48209db-370b-4c11-b833-c374c978fe94
... < 0 DM,7,existing credits paid back duly till now,car (used),1807,A63,unemployed,4,female : divorced/separated/married,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",23,none,for free,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,d48209db-370b-4c11-b833-c374c978fe94
... < 0 DM,5,all credits at this bank paid back duly,car (used),1393,A63,... < 1 year,1,female : divorced/separated/married,guarantor,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,4,unemployed/ unskilled - non-resident,2,none,yes,d48209db-370b-4c11-b833-c374c978fe94
... < 0 DM,59,all credits at this bank paid back duly,car (used),1288,A63,unemployed,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,d48209db-370b-4c11-b833-c374c978fe94
0 <= ... < 200 DM,17,existing credits paid back duly till now,furniture/equipment,6252,A61,... < 1 year,4,male : single,none,3,real estate,28,none,rent,1,unemployed/ unskilled - non-resident,2,none,yes,7072c831-8ea1-4c6f-8e31-f52b502fc20f
0 <= ... < 200 DM,18,delay in paying off in the past,business,6133,A61,4 <= ... < 7 years,3,male : single,co-applicant,3,real estate,28,none,rent,4,unskilled - resident,1,none,no,7072c831-8ea1-4c6f-8e31-f52b502fc20f
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6220,A63,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,for free,4,unskilled - resident,2,none,yes,7072c831-8ea1-4c6f-8e31-f52b502fc20f
... < 0 DM,25,all credits at this bank paid back duly,car (new),6311,A61,4 <= ... < 7 years,4,male : single,guarantor,4,real estate,24,none,rent,1,unskilled - resident,2,none,yes,7072c831-8ea1-4c6f-8e31-f52b502fc20f
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7322,A61,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,4,unskilled - resident,2,none,yes,7072c831-8ea1-4c6f-8e31-f52b502fc20f
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),furniture/equipment,1359,A63,1 <= ... < 4 years,4,male : single,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,4,skilled employee / official,1,none,yes,e43b2e7a-aee6-4bf3-91c5-9e9b83748133
0 <= ... < 200 DM,11,delay in paying off in the past,car (new),1328,A64,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,4,unemployed/ unskilled - non-resident,1,none,no,e43b2e7a-aee6-4bf3-91c5-9e9b83748133
